run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
60,869,870,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.3846864611759053,0.3194402110156299,0.1586998929730382,0.1051168672421207,0.0264513021594885,0.0134497678397745,0.0282147003753239,0.0124866451663809,0.0185197663621976,0.0081738604203521,256-256-256,512,1000,284,9852.500285936983,5.935329550993629,9922.904120528954,NVIDIA A40
61,869,870,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.2591776329210817,0.2309170882691107,0.1491896853422052,0.0912444392704172,0.0390394447289888,0.0153211119647661,0.0378956923162583,0.019942447542143,0.0823783742881248,0.0166950199719316,128-128-128,512,1000,336,19201.908528395,5.157682969002053,19357.99034588097,NVIDIA A40
62,869,870,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.290159350303151,0.2474025321204571,0.1672585267611044,0.0901016295240962,0.0328791473195704,0.0114052443074134,0.0316166958145155,0.0172800733925359,0.0208566128369697,0.007545134174057,256-256-256,512,1000,271,14845.97333941795,5.618475086055696,15011.423139765977,NVIDIA A40
63,869,870,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.3935610525038556,0.2967040575526455,0.1775819537716446,0.0852200018499934,0.0295738166031448,0.0117454070983491,0.0282327132725504,0.0144724734101303,0.0207331120630876,0.0096080796678955,128-128-128,512,1000,205,12686.870777961914,4.395653420942836,12877.147131534992,NVIDIA A40
64,869,870,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.4788855028276458,0.3222477025070607,0.216062202750305,0.0629142694358959,0.0249126640039469,0.0108558543483427,0.0265575701936747,0.0106492376373319,0.0173063749050245,0.0089917156888013,256-256-256,512,1000,240,15391.18895996688,5.184638106031343,15594.204743077978,NVIDIA A40
65,926,927,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.448896821301855,0.2553096710529985,0.2077184001514651,0.0728464110923025,0.0254621108502288,0.0090039005619848,0.0259336569174694,0.0105755099400927,0.0354155289993952,0.0078842979276244,128-128-128,512,1000,334,9436.065062451176,5.703242521034554,9494.179626461815,NVIDIA A40
66,926,927,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3975623198001242,0.3082065958234698,0.1789034774196566,0.0900123145906501,0.0291241129618582,0.0099595627296457,0.0272642520754351,0.0129281528896177,0.0171697775068665,0.0060498798454968,256-256-256,512,1000,269,8011.113039529882,5.212482194881886,8069.530677194009,NVIDIA A40
67,926,927,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.2618912171890549,0.2508897261953016,0.1629163829674554,0.0961095215731403,0.0312478440826698,0.0133116502978205,0.030937957631824,0.0135249040720576,0.0265367209084014,0.0054945156060693,128-128-128,512,1000,279,9798.99838693696,4.889619362074882,9865.36286451295,NVIDIA A40
68,926,927,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.2561237927203246,0.2479894062027084,0.1493314098633209,0.0952343508558671,0.0273671588032903,0.0096892659087178,0.027267653982646,0.0107055482250871,0.0443743491979806,0.0068646324959698,256-256-256,512,1000,319,13311.274504398927,5.800782118923962,13382.733296708204,NVIDIA A40
69,926,927,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.4461766057934516,0.2699822218703808,0.203119869818123,0.0848441415017127,0.0289759474270712,0.0110754655770856,0.0293407494704988,0.0112893552933853,0.0505879969156729,0.0135289308934252,128-128-128,512,1000,344,20966.27991524409,5.227901110192761,21151.70557264192,NVIDIA A40
